SYMBOL, SERIES,DATE1,PREV_CLOSE,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,LAST_PRICE,CLOSE_PRICE,AVG_PRICE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER
SGBOC28VII, GB, 20-Jul-2021,4725,4709,4750,4709,4725.01,4727.22,4722.04,29,1.37,10,22,75.86
SGBOCT25, GB, 20-Jul-2021,4724.5,4780,4780,4725,4725,4741.68,4757.71,76,3.62,10,69,90.79
SGBOCT25IV, GB, 20-Jul-2021,4828,4799.9,4799.9,4680.54,4798,4715.58,4724.96,9,0.43,4,6,66.67
SGBOCT26, GB, 20-Jul-2021,4710,4683.17,4683.17,4683.17,4683.17,4683.17,4683.17,10,0.47,1,10,100
SGBOCT27, GB, 20-Jul-2021,4800,4685.01,4685.01,4685.01,4685.01,4685.01,4685.01,10,0.47,1,10,100
SGBOCT27VI, GB, 20-Jul-2021,4690,4740,4740,4688,4688,4690.04,4698.34,258,12.12,18,178,68.99
SGBSEP24, GB, 20-Jul-2021,4757,4713.01,4741,4713.01,4733.25,4721.2,4728.64,32,1.51,11,31,96.88
SGBSEP27, GB, 20-Jul-2021,4703,4705,4720,4701,4705,4713.82,4707.34,59,2.78,8,59,100
SGBSEP28VI, GB, 20-Jul-2021,4752.5,4751.01,4795,4733,4745,4749.16,4748.37,91,4.32,35,83,91.21
SGL, EQ, 20-Jul-2021,14.75,14.75,15,14.4,15,14.9,14.72,63252,9.31,244,41237,65.19
SHAKTIPUMP, EQ, 20-Jul-2021,859.8,864,868,801.25,828.9,822.8,828.81,207966,1723.65,11476,101399,48.76
SHALBY, EQ, 20-Jul-2021,196.35,197.05,197.05,187.2,188.85,188.85,191.33,278962,533.73,5890,101033,36.22
SHALPAINTS, EQ, 20-Jul-2021,111.4,113.85,116,108.1,112.15,112.55,112.76,1244881,1403.69,15718,300988,24.18
SHANKARA, EQ, 20-Jul-2021,538.9,540.85,546.8,517.4,530,528.7,533.32,345596,1843.15,14789,79217,22.92
SHANTIGEAR, EQ, 20-Jul-2021,148.8,149.7,151.6,142.45,145,144.45,145.17,42669,61.94,1763,23047,54.01
SHARDACROP, EQ, 20-Jul-2021,356.8,356.5,358.25,335.4,344.7,344.35,347.32,125909,437.3,4464,76733,60.94
SHARDAMOTR, BE, 20-Jul-2021,615.25,604,611,584.5,596,599.25,594.59,26665,158.55,811, -, -
SHAREINDIA, EQ, 20-Jul-2021,520.65,522,542,502.2,516,518.3,524.59,125836,660.12,8147,59993,47.68
SHARIABEES, EQ, 20-Jul-2021,404.69,404.46,416,402.42,403.12,404.35,404.1,1157,4.68,80,786,67.93
SHEMAROO, EQ, 20-Jul-2021,136.65,134,139,130.5,135,134.15,135.05,176706,238.64,2557,114173,64.61
SHIL, BE, 20-Jul-2021,376.8,360.05,395.6,358,363,366.2,364.9,81981,299.15,1306, -, -
SHILPAMED, EQ, 20-Jul-2021,628.3,638,668.9,626.5,663,661.75,649.2,3177046,20625.22,52531,822124,25.88
SHIVAMAUTO, EQ, 20-Jul-2021,26.65,26.05,26.9,25.35,25.5,25.45,25.63,99692,25.55,548,73528,73.76
SHIVAMILLS, EQ, 20-Jul-2021,90.4,88.25,93.05,87,90.75,90.35,90.1,65070,58.63,1165,39040,60
SHIVATEX, EQ, 20-Jul-2021,197.2,199,208,193.45,195,196,200.83,47236,94.87,1950,24357,51.56
SHK, EQ, 20-Jul-2021,169.3,167.5,170.15,164.15,165,164.85,166.39,197856,329.21,4738,94401,47.71
SHOPERSTOP, EQ, 20-Jul-2021,251.6,251.6,251.6,241.85,247,247.15,246.31,148361,365.43,3480,61221,41.26
SHRADHA, EQ, 20-Jul-2021,56.35,56.4,57.9,53.2,54.1,53.55,55.01,5242,2.88,171,2284,43.57
SHREDIGCEM, EQ, 20-Jul-2021,87.75,88.75,97.45,88.5,94.15,93.95,94.3,6108352,5760.44,37390,1566421,25.64
SHREECEM, EQ, 20-Jul-2021,27996.85,28099.9,28555,28000,28025,28082.9,28228.15,71764,20257.65,22382,28183,39.27
SHREEPUSHK, EQ, 20-Jul-2021,184.55,185,185.5,173,177.3,176.65,178.38,225171,401.66,8711,113810,50.54
SHREERAMA, EQ, 20-Jul-2021,12.9,13.15,13.5,12.5,13.4,13.5,13.17,229576,30.24,650,167963,73.16
SHRENIK, EQ, 20-Jul-2021,2.1,2.05,2.1,2,2,2,2.01,3808109,76.53,1667,2427569,63.75
SHREYANIND, EQ, 20-Jul-2021,113.95,112.55,114.5,107.95,110.35,109.8,110.46,59639,65.88,2732,28196,47.28
SHREYAS, EQ, 20-Jul-2021,207.8,213.85,214.4,197.45,201,200.6,203.92,133160,271.54,4741,66146,49.67
SHRIPISTON, BE, 20-Jul-2021,898,898,942.9,898,924,919.25,932.7,454,4.23,22, -, -
SHRIRAMCIT, EQ, 20-Jul-2021,1764.95,1782.6,1782.65,1683.05,1718,1718.95,1717.19,38708,664.69,6014,25171,65.03
SHRIRAMEPC, EQ, 20-Jul-2021,5.45,5.6,5.65,5.2,5.35,5.3,5.28,2514467,132.85,1245,1549325,61.62
SHUBHLAXMI, SM, 20-Jul-2021,12.5,12.5,12.5,11.95,12.2,12.2,12.33,7000,0.86,5,7000,100
SHYAMCENT, EQ, 20-Jul-2021,16.9,18.55,18.55,18,18.55,18.55,18.52,2078878,385.07,2694,1490806,71.71
